"Date","Simple Date","Outdoor Temperature (°F)","Wind Speed (mph)","Wind Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Relative Pressure (inHg)","Humidity (%)","Solar Radiation (W/m^2)","Absolute Pressure (inHg)"
2024-04-16T22:56:00-05:00,2024-04-16 22:56:00,69,9,,230,0.15,29.87,96,0,29.62
2024-04-16T21:56:00-05:00,2024-04-16 21:56:00,69,7,,230,0.12,29.85,96,0,29.6
2024-04-16T19:56:00-05:00,2024-04-16 19:56:00,69,9,,180,0.01,29.81,96,0,29.56
2024-04-16T18:56:00-05:00,2024-04-16 18:56:00,68,9,,150,0.02,29.8,96,26,29.55
2024-04-16T17:56:00-05:00,2024-04-16 17:56:00,68,6,,190,0.2,29.81,96,77,29.56
2024-04-16T16:56:00-05:00,2024-04-16 16:56:00,70,22,28,190,0.24,29.8,90,124,29.55
2024-04-16T15:56:00-05:00,2024-04-16 15:56:00,76,20,,170,0,29.78,64,164,29.53
2024-04-16T14:56:00-05:00,2024-04-16 14:56:00,76,20,,170,0,29.81,64,193,29.56
2024-04-16T13:56:00-05:00,2024-04-16 13:56:00,78,26,35,190,0,29.84,58,211,29.59
2024-04-16T12:56:00-05:00,2024-04-16 12:56:00,78,28,37,190,0,29.85,58,544,29.6
2024-04-16T11:56:00-05:00,2024-04-16 11:56:00,76,23,32,190,0,29.88,64,522,29.63
2024-04-16T10:56:00-05:00,2024-04-16 10:56:00,74,24,35,210,0,29.89,69,186,29.64
2024-04-16T09:56:00-05:00,2024-04-16 09:56:00,72,26,32,200,0,29.9,73,153,29.64
2024-04-16T08:56:00-05:00,2024-04-16 08:56:00,71,22,,190,0,29.89,79,422,29.64
2024-04-16T07:56:00-05:00,2024-04-16 07:56:00,70,16,,190,0,29.92,78,237,29.67
2024-04-16T06:56:00-05:00,2024-04-16 06:56:00,68,13,,190,0.01,29.89,81,42,29.64
2024-04-16T05:56:00-05:00,2024-04-16 05:56:00,67,9,,200,0.01,29.88,84,0,29.63
2024-04-16T04:56:00-05:00,2024-04-16 04:56:00,69,20,,190,0,29.83,75,0,29.58
2024-04-16T03:56:00-05:00,2024-04-16 03:56:00,69,18,,170,0.01,29.81,75,0,29.56
2024-04-16T02:56:00-05:00,2024-04-16 02:56:00,69,18,,160,0,29.83,75,0,29.58
2024-04-16T01:56:00-05:00,2024-04-16 01:56:00,69,10,,190,0,29.9,78,0,29.65
2024-04-16T00:56:00-05:00,2024-04-16 00:56:00,69,17,,170,0.01,29.9,78,0,29.65
2024-04-15T23:56:00-05:00,2024-04-15 23:56:00,68,9,,180,0.01,29.95,84,0,29.7
2024-04-15T22:56:00-05:00,2024-04-15 22:56:00,68,6,,160,0.01,29.94,87,0,29.69
2024-04-15T21:56:00-05:00,2024-04-15 21:56:00,71,12,,170,0,29.93,70,0,29.68
2024-04-15T20:56:00-05:00,2024-04-15 20:56:00,73,8,,180,0,29.93,68,0,29.68
2024-04-15T19:56:00-05:00,2024-04-15 19:56:00,73,9,,190,0,29.92,71,0,29.67
2024-04-15T18:56:00-05:00,2024-04-15 18:56:00,76,13,,170,0,29.91,62,97,29.66
2024-04-15T17:56:00-05:00,2024-04-15 17:56:00,78,13,,190,0,29.92,60,292,29.67
2024-04-15T16:56:00-05:00,2024-04-15 16:56:00,79,16,,180,0,29.91,60,311,29.66
2024-04-15T15:56:00-05:00,2024-04-15 15:56:00,77,16,,190,0,29.93,64,163,29.68
2024-04-15T14:56:00-05:00,2024-04-15 14:56:00,78,16,25,200,0,29.93,64,193,29.68
2024-04-15T13:56:00-05:00,2024-04-15 13:56:00,79,20,,180,0,29.93,65,211,29.68
2024-04-15T12:56:00-05:00,2024-04-15 12:56:00,80,14,,190,0,29.94,60,543,29.69
2024-04-15T11:56:00-05:00,2024-04-15 11:56:00,79,9,,200,0,29.96,62,827,29.7
2024-04-15T10:56:00-05:00,2024-04-15 10:56:00,75,10,,200,0,29.97,71,740,29.72
2024-04-15T09:56:00-05:00,2024-04-15 09:56:00,72,9,,250,0,29.97,76,607,29.72
2024-04-15T08:56:00-05:00,2024-04-15 08:56:00,67,12,,210,0,29.96,84,438,29.71
2024-04-15T07:56:00-05:00,2024-04-15 07:56:00,63,6,,200,0,29.96,93,244,29.71
2024-04-15T06:56:00-05:00,2024-04-15 06:56:00,60,5,,210,0,29.95,93,38,29.7
2024-04-15T05:56:00-05:00,2024-04-15 05:56:00,59,6,,190,0,29.92,96,0,29.67
2024-04-15T03:56:00-05:00,2024-04-15 03:56:00,62,9,,180,0,29.91,90,0,29.66
2024-04-15T02:56:00-05:00,2024-04-15 02:56:00,60,8,,170,0,29.91,93,0,29.66
2024-04-15T01:56:00-05:00,2024-04-15 01:56:00,61,7,,180,0,29.92,93,0,29.67
2024-04-15T00:56:00-05:00,2024-04-15 00:56:00,64,8,,200,0,29.93,87,0,29.68
2024-04-14T23:56:00-05:00,2024-04-14 23:56:00,64,6,,210,0,29.93,87,0,29.68
2024-04-14T22:56:00-05:00,2024-04-14 22:56:00,65,8,,200,0,29.93,87,0,29.68
2024-04-14T21:56:00-05:00,2024-04-14 21:56:00,66,7,,200,0,29.93,84,0,29.68
2024-04-14T20:56:00-05:00,2024-04-14 20:56:00,70,7,,210,0,29.91,73,0,29.66
2024-04-14T19:56:00-05:00,2024-04-14 19:56:00,73,13,,220,0,29.89,66,0,29.64
2024-04-14T18:56:00-05:00,2024-04-14 18:56:00,75,22,,210,0,29.88,62,99,29.63
2024-04-14T17:56:00-05:00,2024-04-14 17:56:00,77,24,29,210,0,29.88,58,303,29.63
2024-04-14T16:56:00-05:00,2024-04-14 16:56:00,78,29,32,200,0,29.88,56,491,29.63
2024-04-14T15:56:00-05:00,2024-04-14 15:56:00,79,25,31,200,0,29.9,54,650,29.65
2024-04-14T14:56:00-05:00,2024-04-14 14:56:00,79,25,31,210,0,29.91,54,769,29.65
2024-04-14T13:56:00-05:00,2024-04-14 13:56:00,78,22,29,200,0,29.93,56,840,29.68
2024-04-14T12:56:00-05:00,2024-04-14 12:56:00,76,18,,210,0,29.95,56,859,29.7
2024-04-14T11:56:00-05:00,2024-04-14 11:56:00,75,24,31,200,0,29.96,54,824,29.71
2024-04-14T10:56:00-05:00,2024-04-14 10:56:00,72,21,31,210,0,29.98,59,737,29.73
2024-04-14T09:56:00-05:00,2024-04-14 09:56:00,69,24,,210,0,29.98,61,604,29.73
2024-04-14T08:56:00-05:00,2024-04-14 08:56:00,66,21,,210,0,30,61,434,29.75
2024-04-14T07:56:00-05:00,2024-04-14 07:56:00,63,21,,200,0,29.99,65,240,29.74
2024-04-14T05:56:00-05:00,2024-04-14 05:56:00,61,15,20,210,0,29.98,62,0,29.73
2024-04-14T04:56:00-05:00,2024-04-14 04:56:00,60,15,,190,0,29.97,67,0,29.72
2024-04-14T03:56:00-05:00,2024-04-14 03:56:00,60,10,,160,0,30,72,0,29.74
2024-04-14T02:56:00-05:00,2024-04-14 02:56:00,60,9,,170,0,30.01,72,0,29.75
2024-04-14T01:56:00-05:00,2024-04-14 01:56:00,60,9,,170,0,30.02,75,0,29.77
2024-04-14T00:56:00-05:00,2024-04-14 00:56:00,59,8,,190,0,30.04,77,0,29.79
2024-04-13T23:56:00-05:00,2024-04-13 23:56:00,61,13,,180,0,30.04,72,0,29.79
2024-04-13T22:56:00-05:00,2024-04-13 22:56:00,62,10,,190,0,30.05,67,0,29.8
2024-04-13T21:56:00-05:00,2024-04-13 21:56:00,65,9,,180,0,30.05,58,0,29.79
2024-04-13T20:56:00-05:00,2024-04-13 20:56:00,67,10,,190,0,30.04,55,0,29.78
2024-04-13T19:56:00-05:00,2024-04-13 19:56:00,72,12,,200,0,30.03,44,0,29.77
2024-04-13T18:56:00-05:00,2024-04-13 18:56:00,79,16,,210,0,30.02,35,97,29.77
2024-04-13T17:56:00-05:00,2024-04-13 17:56:00,82,21,,200,0,30.03,32,301,29.77
2024-04-13T16:56:00-05:00,2024-04-13 16:56:00,83,22,,200,0,30.04,31,488,29.78
2024-04-13T15:56:00-05:00,2024-04-13 15:56:00,83,22,28,210,0,30.05,37,647,29.8
2024-04-13T14:56:00-05:00,2024-04-13 14:56:00,83,14,24,210,0,30.08,37,767,29.83
2024-04-13T13:56:00-05:00,2024-04-13 13:56:00,82,20,,210,0,30.1,40,838,29.85
2024-04-13T12:56:00-05:00,2024-04-13 12:56:00,80,14,,190,0,30.14,42,856,29.89
2024-04-13T11:56:00-05:00,2024-04-13 11:56:00,77,17,,210,0,30.17,42,821,29.92
2024-04-13T10:56:00-05:00,2024-04-13 10:56:00,72,12,,190,0,30.21,44,733,29.96
2024-04-13T09:56:00-05:00,2024-04-13 09:56:00,67,9,,180,0,30.23,52,600,29.97
2024-04-13T08:56:00-05:00,2024-04-13 08:56:00,60,7,,170,0,30.24,64,430,29.98
2024-04-13T07:56:00-05:00,2024-04-13 07:56:00,53,3,,150,0,30.24,80,236,29.98
2024-04-13T05:56:00-05:00,2024-04-13 05:56:00,48,0,,0,0,30.22,83,0,29.96
2024-04-13T04:56:00-05:00,2024-04-13 04:56:00,50,0,,0,0,30.21,77,0,29.95
2024-04-13T03:56:00-05:00,2024-04-13 03:56:00,48,3,,170,0,30.21,89,0,29.95
2024-04-13T02:56:00-05:00,2024-04-13 02:56:00,51,6,,210,0,30.2,65,0,29.94
2024-04-13T01:56:00-05:00,2024-04-13 01:56:00,54,3,,210,0,30.2,57,0,29.95
2024-04-13T00:56:00-05:00,2024-04-13 00:56:00,51,6,,200,0,30.21,68,0,29.95
2024-04-12T23:56:00-05:00,2024-04-12 23:56:00,58,3,,280,0,30.2,46,0,29.94
2024-04-12T22:56:00-05:00,2024-04-12 22:56:00,60,6,,280,0,30.2,42,0,29.94
2024-04-12T21:56:00-05:00,2024-04-12 21:56:00,59,8,,270,0,30.19,45,0,29.93
2024-04-12T20:56:00-05:00,2024-04-12 20:56:00,64,7,,290,0,30.16,30,0,29.91
2024-04-12T19:56:00-05:00,2024-04-12 19:56:00,67,7,,240,0,30.14,27,0,29.89
2024-04-12T18:56:00-05:00,2024-04-12 18:56:00,70,7,,290,0,30.13,23,94,29.88
2024-04-12T17:56:00-05:00,2024-04-12 17:56:00,73,13,21,290,0,30.13,17,298,29.88
2024-04-12T16:56:00-05:00,2024-04-12 16:56:00,74,14,23,300,0,30.14,19,486,29.88
2024-04-12T15:56:00-05:00,2024-04-12 15:56:00,73,13,20,280,0,30.14,20,645,29.89
2024-04-12T14:56:00-05:00,2024-04-12 14:56:00,71,16,,310,0,30.15,21,764,29.9
2024-04-12T13:56:00-05:00,2024-04-12 13:56:00,70,16,23,300,0,30.17,22,835,29.91
2024-04-12T12:56:00-05:00,2024-04-12 12:56:00,69,14,,300,0,30.17,24,853,29.92
2024-04-12T11:56:00-05:00,2024-04-12 11:56:00,67,17,26,320,0,30.18,25,817,29.92
2024-04-12T10:56:00-05:00,2024-04-12 10:56:00,64,21,31,290,0,30.18,28,730,29.92
2024-04-12T09:56:00-05:00,2024-04-12 09:56:00,60,13,,270,0,30.17,37,596,29.92
2024-04-12T08:56:00-05:00,2024-04-12 08:56:00,57,13,,270,0,30.15,40,426,29.9
2024-04-12T07:56:00-05:00,2024-04-12 07:56:00,52,12,,260,0,30.14,48,231,29.88
2024-04-12T06:56:00-05:00,2024-04-12 06:56:00,47,8,,250,0,30.1,58,24,29.84
2024-04-12T05:56:00-05:00,2024-04-12 05:56:00,47,7,,240,0,30.07,58,0,29.81
2024-04-12T04:56:00-05:00,2024-04-12 04:56:00,48,8,,250,0,30.05,56,0,29.8
2024-04-12T03:56:00-05:00,2024-04-12 03:56:00,49,8,,270,0,30.04,54,0,29.79
2024-04-12T02:56:00-05:00,2024-04-12 02:56:00,51,9,,270,0,30.03,50,0,29.77
2024-04-12T01:56:00-05:00,2024-04-12 01:56:00,51,12,,250,0,30.01,54,0,29.76
2024-04-12T00:56:00-05:00,2024-04-12 00:56:00,52,8,,250,0,29.99,57,0,29.74
2024-04-11T23:56:00-05:00,2024-04-11 23:56:00,52,8,,250,0,29.98,61,0,29.73
2024-04-11T22:56:00-05:00,2024-04-11 22:56:00,56,10,,280,0,29.96,49,0,29.71
2024-04-11T21:56:00-05:00,2024-04-11 21:56:00,58,10,,270,0,29.95,47,0,29.69
2024-04-11T20:56:00-05:00,2024-04-11 20:56:00,59,13,,290,0,29.91,44,0,29.65
