"Date","Simple Date","Outdoor Temperature (°F)","Wind Speed (mph)","Wind Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Relative Pressure (inHg)","Humidity (%)","Solar Radiation (W/m^2)","Absolute Pressure (inHg)"
2024-04-22T14:56:00-05:00,2024-04-22 14:56:00,68,5,,-1,0,30.2,32,808,30.01
2024-04-22T13:56:00-05:00,2024-04-22 13:56:00,66,6,,-1,0,30.24,29,875,30.04
2024-04-22T12:56:00-05:00,2024-04-22 12:56:00,65,5,,-1,0,30.27,37,888,30.07
2024-04-22T11:56:00-05:00,2024-04-22 11:56:00,64,6,,-1,0,30.29,32,847,30.1
2024-04-22T10:56:00-05:00,2024-04-22 10:56:00,62,5,,-1,0,30.31,44,754,30.12
2024-04-22T09:56:00-05:00,2024-04-22 09:56:00,56,3,,130,0,30.32,60,616,30.12
2024-04-22T08:56:00-05:00,2024-04-22 08:56:00,51,0,,0,0,30.32,79,442,30.12
2024-04-22T07:56:00-05:00,2024-04-22 07:56:00,43,0,,0,0,30.31,100,244,30.11
2024-04-22T06:56:00-05:00,2024-04-22 06:56:00,39,0,,0,0,30.29,100,36,30.09
2024-04-22T05:56:00-05:00,2024-04-22 05:56:00,38,0,,0,0,30.27,100,0,30.07
2024-04-22T04:56:00-05:00,2024-04-22 04:56:00,39,3,,230,0,30.26,100,0,30.06
2024-04-22T03:56:00-05:00,2024-04-22 03:56:00,40,0,,0,0,30.25,100,0,30.06
2024-04-21T23:56:00-05:00,2024-04-21 23:56:00,46,0,,0,0,30.26,96,0,30.06
2024-04-21T22:56:00-05:00,2024-04-21 22:56:00,50,0,,0,0,30.26,80,0,30.06
2024-04-21T20:56:00-05:00,2024-04-21 20:56:00,52,5,,310,0,30.23,86,0,30.03
2024-04-21T19:56:00-05:00,2024-04-21 19:56:00,59,5,,320,0,30.22,53,0,30.02
2024-04-21T18:56:00-05:00,2024-04-21 18:56:00,63,8,,330,0,30.21,38,140,30.02
2024-04-21T17:56:00-05:00,2024-04-21 17:56:00,66,13,,350,0,30.21,37,330,30.02
2024-04-21T16:56:00-05:00,2024-04-21 16:56:00,64,8,16,350,0,30.22,38,533,30.03
2024-04-21T15:56:00-05:00,2024-04-21 15:56:00,64,10,,330,0,30.24,40,690,30.04
2024-04-21T14:56:00-05:00,2024-04-21 14:56:00,64,10,18,360,0,30.26,40,806,30.06
2024-04-21T13:56:00-05:00,2024-04-21 13:56:00,63,8,,340,0,30.28,43,873,30.09
2024-04-21T12:56:00-05:00,2024-04-21 12:56:00,61,7,,-1,0,30.3,44,886,30.11
2024-04-21T11:56:00-05:00,2024-04-21 11:56:00,59,8,,30,0,30.31,47,845,30.12
2024-04-21T10:56:00-05:00,2024-04-21 10:56:00,57,6,,-1,0,30.32,51,752,30.12
2024-04-21T09:56:00-05:00,2024-04-21 09:56:00,55,8,17,30,0,30.3,55,613,30.11
2024-04-21T08:56:00-05:00,2024-04-21 08:56:00,53,9,16,20,0,30.3,63,439,30.1
2024-04-21T06:56:00-05:00,2024-04-21 06:56:00,47,0,,0,0.01,30.27,97,31,30.07
2024-04-21T04:56:00-05:00,2024-04-21 04:56:00,52,0,,0,0.01,30.25,74,0,30.05
2024-04-21T03:56:00-05:00,2024-04-21 03:56:00,54,12,,360,0.01,30.23,69,0,30.03
2024-04-21T02:56:00-05:00,2024-04-21 02:56:00,54,7,,10,0,30.21,77,0,30.02
2024-04-21T01:56:00-05:00,2024-04-21 01:56:00,54,7,,340,0,30.22,77,0,30.02
2024-04-21T00:56:00-05:00,2024-04-21 00:56:00,53,5,,350,0,30.2,83,0,30
2024-04-20T23:56:00-05:00,2024-04-20 23:56:00,54,5,,340,0,30.2,83,0,30
2024-04-20T22:56:00-05:00,2024-04-20 22:56:00,54,0,,0,0,30.2,90,0,30
2024-04-20T21:56:00-05:00,2024-04-20 21:56:00,54,0,,0,0,30.19,97,0,29.99
2024-04-20T20:56:00-05:00,2024-04-20 20:56:00,54,3,,300,0,30.16,97,0,29.96
2024-04-20T19:56:00-05:00,2024-04-20 19:56:00,54,5,,350,0,30.16,93,0,29.96
2024-04-20T18:56:00-05:00,2024-04-20 18:56:00,55,3,,20,0,30.16,86,34,29.97
2024-04-20T17:56:00-05:00,2024-04-20 17:56:00,54,0,,0,0,30.17,90,86,29.97
2024-04-20T16:56:00-05:00,2024-04-20 16:56:00,53,3,,-1,0,30.19,89,133,30
2024-04-20T15:56:00-05:00,2024-04-20 15:56:00,52,6,,30,0.01,30.19,93,172,30
2024-04-20T14:56:00-05:00,2024-04-20 14:56:00,50,0,,0,0.01,30.2,96,506,30.01
2024-04-20T13:56:00-05:00,2024-04-20 13:56:00,50,6,,60,0.08,30.22,96,218,30.02
2024-04-20T12:56:00-05:00,2024-04-20 12:56:00,50,3,,-1,0.15,30.26,96,221,30.06
2024-04-20T11:56:00-05:00,2024-04-20 11:56:00,50,3,,310,0.13,30.31,93,211,30.12
2024-04-20T10:56:00-05:00,2024-04-20 10:56:00,53,10,,10,0.01,30.28,74,187,30.09
2024-04-20T09:56:00-05:00,2024-04-20 09:56:00,56,9,,30,0,30.27,60,153,30.07
2024-04-20T08:56:00-05:00,2024-04-20 08:56:00,57,9,,50,0,30.22,59,109,30.02
2024-04-20T07:56:00-05:00,2024-04-20 07:56:00,58,7,,40,0,30.22,60,59,30.02
2024-04-20T06:56:00-05:00,2024-04-20 06:56:00,58,5,,-1,0,30.2,62,7,30
